Year,ICPSR State Code,Alphanumeric State Code,State,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted,Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible
1984,63,13,Idaho,0.637,0.62,60.80%,"421,935","411,144",662771,675772,1.70%,"1,253",0,0,"1,253",
1984,21,14,Illinois,0.627,0.608,57.90%,"4,969,352","4,819,088",7922605,8327065,4.70%,"17,114",0,0,"17,114",
1984,22,15,Indiana,0.579,0.57,56.40%,"2,268,493","2,233,069",3916362,3960870,0.90%,"9,328",0,0,"9,328",
1984,31,16,Iowa,0.651,0.641,63.30%,"1,339,886","1,319,805",2057482,2084995,0.80%,"2,836","11,924","1,662","10,460",
1984,52,21,Maryland,0.545,0.538,51.10%,"1,695,924","1,675,873",3113967,3278321,3.40%,"13,124","64,827","7,046","52,584",
1984,3,22,Massachusetts,0.607,0.599,57.00%,"2,595,054","2,559,453",4273437,4486676,4.80%,0,0,0,0,
1984,23,23,Michigan,0.606,0.593,58.00%,"3,884,854","3,801,658",6407156,6550877,2.00%,"14,604",0,0,"14,604",
1984,33,24,Minnesota,0.709,0.699,68.60%,"2,115,317","2,084,449",2982015,3039490,1.30%,"2,167","31,440","1,418","19,305",
1984,64,27,Montana,0.682,0.664,65.80%,"395,006","384,377",578925,584162,0.70%,964,0,0,964,
1984,35,28,Nebraska,0.591,0.575,56.60%,"670,781","652,090",1135012,1152310,0.90%,"1,665","10,763",361,"7,408",
1984,65,29,Nevada,0.448,0.436,41.10%,"294,413","286,667",656862,697185,4.70%,"3,488","5,226","1,187","7,288",
1984,4,30,New Hampshire,0.566,0.541,53.10%,"406,608","388,904",718967,732480,1.80%,581,0,0,581,
1984,12,31,New Jersey,0.605,0.605,56.50%,"3,215,941","3,217,862",5318696,5699440,5.90%,"10,363","44,208","12,206","44,673",
1984,66,32,New Mexico,0.546,0.538,51.90%,"522,328","514,370",956246,990632,2.90%,"2,129","3,926","1,194","5,286",
1984,13,33,New York,0.572,0.556,50.90%,"7,000,828","6,806,810",12232120,13373558,8.10%,"33,109",0,"24,212","57,321",
1984,36,35,North Dakota,0.672,0.64,63.50%,"324,179","308,971",482655,486449,0.70%,432,0,0,432,
1984,24,36,Ohio,0.603,0.588,58.00%,"4,664,223","4,547,619",7732456,7836806,1.10%,"18,619",0,0,"18,619",
1984,53,37,Oklahoma,0.555,0.54,52.90%,"1,290,555","1,255,676",2324445,2373014,1.20%,"7,872","18,809","1,880","19,157",
1984,72,38,Oregon,0.664,0.643,62.50%,"1,265,824","1,226,527",1906880,1962501,2.60%,"4,224",0,0,"4,224",
1984,5,40,Rhode Island,0.606,0.588,55.50%,"422,851","410,492",697537,739064,4.90%,"1,221","7,147",394,"5,189",
1984,48,41,South Carolina,0.437,0.416,40.90%,"1,018,701","968,529",2329080,2368236,0.70%,"9,892","17,043","3,441","21,855",
1984,67,45,Utah,0.643,0.63,61.60%,"641,846","629,656",998820,1022083,2.30%,0,0,0,0,
1984,6,46,Vermont,0.616,0.615,60.50%,"235,140","234,561",381479,387620,1.60%,0,0,0,0,
1984,73,48,Washington,0.629,0.613,58.60%,"1,931,546","1,883,910",3072714,3213263,3.40%,"6,821","39,181","5,253","31,665",
1984,68,51,Wyoming,0.579,0.558,54.90%,"196,153","188,968",338733,343957,1.00%,724,"1,708",352,"1,930",
1982,0,0,United States (Excl. Louisiana),0,0.421,40.70%,,"67,615,576",160466919,166027633,4.00%,"399,102","789,951","165,559","959,637","1,981,895"
1982,81,2,Alaska,0.649,0.634,61.50%,"199,458","194,885",307558,316787,2.20%,"1,322","1,816",101,"2,331",
1982,61,3,Arizona,0.368,0.36,34.40%,"742,923","726,364",2017098,2112246,3.80%,"6,069","14,949","1,527","15,071",
1982,71,5,California,0.499,0.487,42.70%,"8,064,314","7,876,698",16161555,18448245,12.10%,"34,640",0,"18,913","53,553",
1982,62,6,Colorado,0.473,0.435,42.50%,"1,037,774","956,021",2196263,2248839,2.10%,"3,042",0,"1,202","4,244",
1982,1,7,Connecticut,0.494,0.481,45.70%,"1,112,428","1,084,156",2253328,2369975,4.00%,"5,156","33,061","1,311","22,998",
